URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4.0,0,0.9999997500000625,0.01646090528205389,7.03921568627451,0.2924791086350975,2.932677917963843,7.03921568627451,105.0,243.0,2.030640668523677,3.0,6.406685236768802
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10.0,5,0.3333333111111126,0.02757352936107807,9.971153846153847,0.1918997107039537,4.065221422743121,9.971153846153847,199.0,544.0,1.6933461909353906,9.0,5.273866923818708
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10.0,2,0.6666666111111158,0.042857142704081634,7.25,0.2684729064039409,3.0073891625615765,7.25,109.0,280.0,1.977832512315271,3.0,6.273399014778325
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22.0,9,0.4193548251821024,0.06300812995323551,8.493975903614459,0.3843971631205674,3.5513492266940108,8.493975903614459,271.0,492.0,2.224113475177305,6.0,6.636879432624114
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,3.0,0,0.9999996666667778,0.011904761857520787,8.195652173913043,0.28116710875331563,3.3907277130665436,8.195652173913043,106.0,252.0,1.9840848806366047,3.0,6.26525198938992
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,4.0,0,0.9999997500000625,0.01646090528205389,7.03921568627451,0.2924791086350975,2.932677917963843,7.03921568627451,105.0,243.0,2.030640668523677,3.0,6.406685236768802
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10.0,5,0.3333333111111126,0.02757352936107807,9.971153846153847,0.1918997107039537,4.065221422743121,9.971153846153847,199.0,544.0,1.6933461909353906,9.0,5.273866923818708
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,10.0,2,0.6666666111111158,0.042857142704081634,7.25,0.2684729064039409,3.0073891625615765,7.25,109.0,280.0,1.977832512315271,3.0,6.273399014778325
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,22.0,9,0.4193548251821024,0.06300812995323551,8.493975903614459,0.3843971631205674,3.5513492266940108,8.493975903614459,271.0,492.0,2.224113475177305,6.0,6.636879432624114
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,57.0,9,0.7272727162534437,0.05196850389608779,7.799163179916318,0.3530042918454936,3.2608669887047252,7.799163179916318,658.0,1270.0,2.1239270386266096,3.0,6.418454935622318
